ttid,rank,rankchange,title,fulltitle,year,image_url,crew,rating,ratingCount
tt8740976,1,11,Inventing Anna,2022,2022,https://imdb-api.com/images/original/MV5BM2QzMWM5OTgtZDE1MC00ZmMyLWIyODItMmQ4NjNlZGRjYTUzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,6.9,23204.0,23204
tt8772296,2,1,Euphoria,2019,2019,https://imdb-api.com/images/original/MV5BMDMzZDkyNzEtYTY5Ni00NzlhLWI4MzUtY2UzNjNmMjI1YzIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,8.4,126463.0,126463
tt9288030,3,-2,Reacher,2022,2022,https://imdb-api.com/images/original/MV5BNzQ4MGYzYzAtNjJlOC00NTdkLTlmNTAtMmZjMzZmZTg2YTEzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_Ratio0.6716_AL_.jpg,8.3,64928.0,64928
tt7631058,4,16,The Lord of the Rings: The Rings of Power,2022,2022,https://imdb-api.com/images/original/MV5BOTUzYTMwYjAtNzMzMS00YjhmLWEwOGQtY2MxZGEyMzMwZDI0XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt13146488,5,2,Peacemaker,2022,2022,https://imdb-api.com/images/original/MV5BODk2NjAyOWMtM2FjZC00MjZhLTkxMjQtZTM3NjJlYTE5MDdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,8.5,59462.0,59462
tt13668894,6,-4,The Book of Boba Fett,2021,2021,https://imdb-api.com/images/original/MV5BZjllZjE1MWEtYTJhZC00MWIyLTliMjEtYzM3ODc4YzQ2MjFlXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_Ratio0.6716_AL_.jpg,7.5,91069.0,91069
tt13659418,7,-3,Pam & Tommy,2022,2022,https://imdb-api.com/images/original/MV5BMmYyMTE3ZDItOGQwZC00ODgwLTkzN2YtOTIxNTI1Yjg0ZjE0XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_Ratio0.6716_AL_.jpg,7.4,11566.0,11566
tt2560140,8,-3,Attack on Titan,2013,2013,https://imdb-api.com/images/original/MV5BNzc5MTczNDQtNDFjNi00ZDU5LWFkNzItOTE1NzQzMzdhNzMxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_Ratio0.6716_AL_.jpg,9.0,327023.0,327023
tt13991232,9,0,1883,2021,2021,https://imdb-api.com/images/original/MV5BNDZkZDdkMjYtMGI3Yi00MmVkLTkzZjQtMGI0NGViNzIzNjhjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_Ratio0.6716_AL_.jpg,9.0,33329.0,33329
tt5071412,10,-4,Ozark,2017,2017,https://imdb-api.com/images/original/MV5BNGY3MmUzNjktZWEzNi00ODdiLTk4ZDItZjBhMjZlYzI0NTJjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,8.5,256306.0,256306
tt12878838,11,161,Bel-Air,2022,2022,https://imdb-api.com/images/original/MV5BZDI5YTcyZDAtNDk1OC00YzFmLTk4ODctZmQyMDk1OGNmNDdlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.7313_AL_.jpg,6.0,4480.0,4480
tt1520211,12,10,The Walking Dead,2010,2010,https://imdb-api.com/images/original/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWQ5ZTZjN2RlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,8.1,932140.0,932140
tt4236770,13,1,Yellowstone,2018,2018,https://imdb-api.com/images/original/MV5BZjhkNWM1NTQtODI4NS00NzllLTg1ODAtYjg3N2QxZjc3ZjRiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_Ratio0.7313_AL_.jpg,8.8,100540.0,100540
tt4406178,14,2,The Gilded Age,2022,2022,https://imdb-api.com/images/original/MV5BZTcyODBlMjktYzgyMy00YTczLWI3ZDktYmY3Y2JjODE2MzZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,8.1,8903.0,8903
tt0944947,15,4,Game of Thrones,2011,2011,https://imdb-api.com/images/original/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_Ratio0.7313_AL_.jpg,9.2,1956893.0,1956893
tt13315324,16,-8,The Woman in the House Across the Street from the Girl in the Window,2022,2022,https://imdb-api.com/images/original/MV5BMzhhNWVmNzItOTFlOC00OTAwLWFmNjgtMDBhOWM2YTkwZDcwXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_Ratio0.6716_AL_.jpg,6.4,31238.0,31238
tt9335498,17,-2,Demon Slayer: Kimetsu no Yaiba,2019,2019,https://imdb-api.com/images/original/MV5BZjZjNzI5MDctY2Y4YS00NmM4LTljMmItZTFkOTExNGI3ODRhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_Ratio0.7015_AL_.jpg,8.7,80878.0,80878
tt14169960,18,-7,All of Us Are Dead,2022,2022,https://imdb-api.com/images/original/MV5BOTY1ZGM2YzQtMTBjZC00NjE2LWJlNzUtYjA0YjYxNzBjMmRjXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_Ratio0.6716_AL_.jpg,7.6,31513.0,31513
tt2442560,19,10,Peaky Blinders,2013,2013,https://imdb-api.com/images/original/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_Ratio0.6716_AL_.jpg,8.8,457650.0,457650
tt5788792,20,50,The Marvelous Mrs. Maisel,2017,2017,https://imdb-api.com/images/original/MV5BMzk2ZmFhNjMtOWM2YS00MGU4LTk3ODMtY2Q2MjU2ODA0MDg4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,8.7,100468.0,100468
tt11280740,21,243,Severance,2022,2022,https://imdb-api.com/images/original/MV5BZjE2ZWQyNGItYjM2My00MzUyLWIzZDktM2RmNWZhZTU0YmVhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,8.1,2877.0,2877
