ttid,rank,rankchange,title,fulltitle,year,image_url,crew,rating,ratingCount
tt1464335,1,12,Uncharted,2022,2022,https://imdb-api.com/images/original/MV5BOTNkN2ZmMzItOTAwMy00MmM5LTg5YTgtNmE5MThkMDE2ODJiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_Ratio0.6716_AL_.jpg,6.7,32913.0,32913
tt9419884,2,41,Doctor Strange in the Multiverse of Madness,2022,2022,https://imdb-api.com/images/original/MV5BZDg5ZDg2MWQtM2ExNi00ZjEzLTgzMDQtZmJlYWEwYmM4ODUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt6856242,3,1,The King's Man,2021,2021,https://imdb-api.com/images/original/MV5BMDEzZDY2ZDktNTlmOS00NThjLThkNTEtMjE5MzI5NWEwZmRjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_Ratio0.6716_AL_.jpg,6.4,70789.0,70789
tt7657566,4,-1,Death on the Nile,2022,2022,https://imdb-api.com/images/original/MV5BNjI4ZTQ1OTYtNTI0Yi00M2EyLThiNjMtMzk1MmZlOWMyMDQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,6.6,22499.0,22499
tt1877830,5,4,The Batman,2022,2022,https://imdb-api.com/images/original/MV5BYTExZTdhY2ItNGQ1YS00NjJlLWIxMjYtZTI1MzNlMzY0OTk4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt7740496,6,-5,Nightmare Alley,2021,2021,https://imdb-api.com/images/original/MV5BOTI4NDhhNGEtZjQxZC00ZTRmLThmZTctOGJmY2ZlOTc0ZGY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,7.2,68023.0,68023
tt11755740,7,138,Texas Chainsaw Massacre,2022,2022,https://imdb-api.com/images/original/MV5BMDU4Yzk1NmUtNDU4OC00YzVmLTgwOTUtYTY2NjNmMjY5YjVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6716_AL_.jpg,4.9,31419.0,31419
tt10293406,8,-6,The Power of the Dog,2021,2021,https://imdb-api.com/images/original/MV5BZGRhYjE2NWUtN2FkNy00NGI3LTkxYWMtMDk4Yjg5ZjI3MWI2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,6.9,118115.0,118115
tt10223460,9,1,Marry Me,2022,2022,https://imdb-api.com/images/original/MV5BMjczZjI2M2UtOGMwOS00YWFhLTg0OTYtZDY5ZWIwNjhlOWI2XkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_Ratio0.6716_AL_.jpg,6.1,13426.0,13426
tt10872600,10,-3,Spider-Man: No Way Home,2021,2021,https://imdb-api.com/images/original/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_Ratio0.6716_AL_.jpg,8.7,475463.0,475463
tt2953050,11,-6,Encanto,2021,2021,https://imdb-api.com/images/original/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_Ratio0.6716_AL_.jpg,7.3,151803.0,151803
tt11245972,12,14,Scream,2022,2022,https://imdb-api.com/images/original/MV5BM2E4ZGFmZTgtMDVkYS00ZTk0LWIzYWMtODk5OGVmYmEyMzEzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,6.7,56044.0,56044
tt14992922,13,-5,The Tinder Swindler,2022,2022,https://imdb-api.com/images/original/MV5BMTkwMTg2YWYtOGU5MS00YTdhLTg4N2QtYzcyZDE0MTlmNDU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6716_AL_.jpg,7.2,38990.0,38990
tt8041270,14,-2,Jurassic World Dominion,2022,2022,https://imdb-api.com/images/original/MV5BMjQzZTA2MmEtNDcwYy00ZWE0LWFlODMtOWQ2MzRjNTgyYmVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt3704428,15,0,Elvis,2022,2022,https://imdb-api.com/images/original/MV5BNjhiODE0ZjktYzVhYS00ODRlLTkwZjYtYjRlNjg5YzI1MzZlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt14128670,16,7,Kimi,2022,2022,https://imdb-api.com/images/original/MV5BYjFmOWUwYjgtM2UyYS00M2FmLTgwNmUtMWIwNTc2ZTgzNmRhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,6.3,12144.0,12144
tt10954984,17,116,Nope,2022,2022,https://imdb-api.com/images/original/MV5BMGIyNTI3NWItNTJkOS00MGYyLWE4NjgtZDhjMWQ4Y2JkZTU5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt6462958,18,21,I Want You Back,2022,2022,https://imdb-api.com/images/original/MV5BZTVhMThmNGEtMzZiYy00MDQ4LTg2NjEtOTJlZGM1MThjMDk5XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,6.6,7907.0,7907
tt4513678,19,-2,Ghostbusters: Afterlife,2021,2021,https://imdb-api.com/images/original/MV5BMmZiMjdlN2UtYzdiZS00YjgxLTgyZGMtYzE4ZGU5NTlkNjhhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,7.2,122582.0,122582
tt11286314,20,-5,Don't Look Up,2021,2021,https://imdb-api.com/images/original/MV5BZjcwZjY3NjAtNzkxZS00NmFjLTg1OGYtODJmMThhY2UwMTc5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.7910_AL_.jpg,7.2,443564.0,443564
